id_inmueble,titulo,localizacion,precio,metros_cuadrados,m2_construidos,m2_utiles,habitaciones,baños,terraza,estado,planta,exterior,ascensor,anunciante,anunciante_link,link_inmueble,fecha_inclusion,caracteristicas_basicas,caracteristicas_extras,link_anunciante
108951162,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,450,79,79.0,70.0,2.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,NEXT HOME INMOBILIARIA,https://www.idealista.com/pro/inmonexthome/,https://www.idealista.com/inmueble/108951162/,2025-09-11,,,
101571395,"Alquiler de estudio en Calle San Nicolás, 131",Centro - Zona Alta,475,50,50.0,45.0,0.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,,,https://www.idealista.com/inmueble/101571395/,2025-09-11,,,
29780273,"Alquiler de ático en Calle Capellá Benlloch, 9",Centro - Zona Alta,700,120,120.0,80.0,2.0,1.0,True,Segunda mano/buen estado,Planta 4ª exterior,True,True,,,https://www.idealista.com/inmueble/29780273/,2025-09-11,,,
108983878,"Alquiler de piso en Calle Santa Rosa, 28",Barri Santa Rosa,750,128,128.0,,3.0,2.0,,Segunda mano/buen estado,Planta 7ª exterior,True,True,,,https://www.idealista.com/inmueble/108983878/,2025-09-11,,,
106990668,Alquiler de chalet adosado en Barri Eixample,Alcoy / Alcoi,2400,614,614.0,,7.0,5.0,True,Segunda mano/buen estado,,,,inmobiliaria aracil,https://www.idealista.com/pro/inmobiliaria-aracil/,https://www.idealista.com/inmueble/106990668/,2025-09-11,,,
105714248,"Alquiler de piso en Calle Anselm Aracil, 12",Barri Eixample,600,110,110.0,100.0,3.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,,,https://www.idealista.com/inmueble/105714248/,2025-09-11,,,
106240925,"Alquiler de casa o chalet independiente en Calle els Maulets, 14",Centro - Zona Alta,700,190,190.0,,3.0,1.0,True,Segunda mano/buen estado,,,,,,https://www.idealista.com/inmueble/106240925/,2025-09-11,,,
109161357,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,450,40,40.0,,,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Inmobiliaria Numero Uno,https://www.idealista.com/pro/numero-uno/,https://www.idealista.com/inmueble/109161357/,2025-09-11,,,
100930484,Alquiler de piso en Calle la Cordeta,Centro - Zona Alta,570,65,65.0,,3.0,1.0,,Segunda mano/buen estado,,True,True,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/100930484/,2025-09-11,,,
107638822,Alquiler de piso en Barri Eixample,Alcoy / Alcoi,720,105,105.0,100.0,3.0,2.0,,Segunda mano/buen estado,Planta 1ª exterior,True,True,Abenza inmuebles,https://www.idealista.com/pro/abenza-inmuebles/,https://www.idealista.com/inmueble/107638822/,2025-09-11,,,
108432909,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,500,60,60.0,,2.0,1.0,,Segunda mano/buen estado,Planta 4ª interior,False,False,Inmobiliaria Hache,https://www.idealista.com/pro/inmobiliaria-hache/,https://www.idealista.com/inmueble/108432909/,2025-09-11,,,
108781129,Alquiler de ático en Barri Eixample,Alcoy / Alcoi,550,60,60.0,,,1.0,True,Segunda mano/buen estado,Planta 4ª exterior,True,True,Inmobiliaria Norte,https://www.idealista.com/pro/inmobiliarianorte/,https://www.idealista.com/inmueble/108781129/,2025-09-11,,,
85630508,"Alquiler de piso en Calle Sant Maure, 15",Centro - Zona Alta,450,75,75.0,,,1.0,,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/85630508/,2025-09-11,,,
109145688,"Alquiler de piso en Avenida camilo sexto, 22",Barri Eixample,675,120,120.0,,3.0,1.0,True,Segunda mano/buen estado,Planta 4ª exterior,True,True,,,https://www.idealista.com/inmueble/109145688/,2025-09-11,,,
98816242,"Alquiler de piso en Calle Músic Gonçal Blanes, 26",Centro - Zona Alta,600,111,111.0,90.0,3.0,2.0,True,Segunda mano/buen estado,Planta 2ª exterior,True,True,,,https://www.idealista.com/inmueble/98816242/,2025-09-11,,,
105537175,"Alquiler de piso en Calle els Alçamora, 37",Barri Santa Rosa,600,100,100.0,,4.0,2.0,True,Segunda mano/buen estado,Planta 6ª exterior,True,True,,,https://www.idealista.com/inmueble/105537175/,2025-09-11,,,
109103239,Alquiler de piso en Centro - Zona Alta,Alcoy / Alcoi,600,70,70.0,65.0,3.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,False,TX CASAS INMOBILIARIA,https://www.idealista.com/pro/tx-casas-inmobiliaria/,https://www.idealista.com/inmueble/109103239/,2025-09-11,,,
96768054,"Alquiler de piso en Calle el Camí, 50",Centro - Zona Alta,550,120,120.0,100.0,4.0,1.0,True,Segunda mano/buen estado,Planta 2ª exterior,True,False,,,https://www.idealista.com/inmueble/96768054/,2025-09-11,,,
108626439,"Alquiler de estudio en Calle Sant Maure, 24",Centro - Zona Alta,350,40,40.0,35.0,0.0,1.0,,Segunda mano/buen estado,Planta 2ª interior,False,False,,,https://www.idealista.com/inmueble/108626439/,2025-09-11,,,
107865051,"Alquiler de piso en Calle Professor Simó Alòs, 2",Barri Zona Nord,560,80,80.0,78.0,3.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,,,https://www.idealista.com/inmueble/107865051/,2025-09-11,,,
108649566,"Alquiler de piso en Calle Perú, 45",Barri Eixample,650,75,75.0,,2.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,,,https://www.idealista.com/inmueble/108649566/,2025-09-11,,,
98088552,"Alquiler de ático en casa blanca, 32",Centro - Zona Alta,500,40,40.0,32.0,1.0,1.0,True,Segunda mano/buen estado,Planta 4ª exterior,True,False,,,https://www.idealista.com/inmueble/98088552/,2025-09-11,,,
101489251,"Alquiler de ático en Calle Pintor Casanova, 20",Centro - Zona Alta,550,87,87.0,80.0,3.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,,,https://www.idealista.com/inmueble/101489251/,2025-09-11,,,
105788331,"Alquiler de piso en Calle Sant Antoni, 1",Centro - Zona Alta,680,60,60.0,,2.0,2.0,True,Segunda mano/buen estado,Bajo exterior,True,False,,,https://www.idealista.com/inmueble/105788331/,2025-09-11,,,
108120934,"Alquiler de piso en Calle la Sardina, 11",Centro - Zona Alta,560,80,80.0,78.0,3.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,,,https://www.idealista.com/inmueble/108120934/,2025-09-11,,,
108954160,"Alquiler de piso en Calle Mestre José Ribera Montes, 33",Barri Santa Rosa,850,140,140.0,,3.0,2.0,,Segunda mano/buen estado,Planta 6ª exterior,True,True,,,https://www.idealista.com/inmueble/108954160/,2025-09-11,,,
109040665,"Alquiler de piso en Avenida Hispanitat, 4",Barri Zona Nord,650,95,95.0,,3.0,1.0,,Segunda mano/buen estado,Planta 1ª exterior,True,False,,,https://www.idealista.com/inmueble/109040665/,2025-09-11,,,
106080382,"Alquiler de piso en Calle Mestre Faus, 5",Barri Zona Nord,600,73,73.0,65.0,3.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,,,https://www.idealista.com/inmueble/106080382/,2025-09-11,,,
109205294,Chalet adosado en venta en Carretera Molinar,Centro - Zona Alta,415000,361,361.0,,6.0,3.0,True,Segunda mano/buen estado,,,,Inmoparadise,https://www.idealista.com/pro/inmoparadise/,https://www.idealista.com/inmueble/109205294/,2025-09-11,,,
101456819,Casa o chalet independiente en venta en Centro - Zona Alta,Alcoy / Alcoi,630000,483,483.0,432.0,6.0,5.0,True,Segunda mano/buen estado,,,,Avangard Mediterranean Properties,https://www.idealista.com/pro/avangard-mediterranean-properties/,https://www.idealista.com/inmueble/101456819/,2025-09-11,,,
106110913,Casa o chalet independiente en venta en Barri Santa Rosa,Alcoy / Alcoi,1200,780,780.0,717.0,11.0,4.0,True,Segunda mano/buen estado,,,,TEAM CONCORDE,https://www.idealista.com/pro/team-concorde/,https://www.idealista.com/inmueble/106110913/,2025-09-11,,,
109227342,Piso en venta en Calle Sant Isidre,Barri Eixample,130000,144,144.0,130.0,4.0,2.0,,Segunda mano/para reformar,Planta 2ª exterior,True,True,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109227342/,2025-09-11,,,
109223969,Piso en venta en Calle Mestre Espí,Barri Santa Rosa,148000,110,110.0,105.0,3.0,3.0,,Segunda mano/buen estado,,True,True,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/109223969/,2025-09-11,,,
109226088,Piso en venta en Calle Francesc Perera,Barri Eixample,120000,90,90.0,74.0,2.0,1.0,,Segunda mano/buen estado,Bajo exterior,True,False,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109226088/,2025-09-11,,,
109242729,Piso en venta en Barri Eixample,Alcoy / Alcoi,46500,50,50.0,,2.0,1.0,,Segunda mano/buen estado,Planta 3ª exterior,True,False,Molmar ',https://www.idealista.com/pro/molmarvalencia/,https://www.idealista.com/inmueble/109242729/,2025-09-11,,,
108703897,Casa o chalet independiente en venta en Calle b,Barri Zona Nord,250000,140,140.0,130.0,4.0,2.0,True,Segunda mano/buen estado,,,,VITALITY VIVIENDAS,https://www.idealista.com/pro/vitality-viviendas/,https://www.idealista.com/inmueble/108703897/,2025-09-11,,,
108460518,Piso en venta en Alameda Camilo Sesto,Barri Eixample,138000,114,114.0,113.0,4.0,2.0,,Segunda mano/buen estado,Planta 5ª exterior,True,True,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/108460518/,2025-09-11,,,
109116527,Piso en venta en CL Na Saurina d'Entenca,Barri Eixample,49000,50,50.0,,3.0,1.0,,Segunda mano/buen estado,Planta 4ª exterior,True,False,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/109116527/,2025-09-11,,,
107158829,Piso en venta en Calle Gabriel Miró,Barri Zona Nord,165000,146,146.0,145.0,3.0,2.0,True,Segunda mano/buen estado,Planta 5ª exterior,True,True,EZOVSKI. real estate,https://www.idealista.com/pro/ezovski-real-estate/,https://www.idealista.com/inmueble/107158829/,2025-09-11,,,
108405093,Piso en venta en Plaza del Centenari,Barri Santa Rosa,99900,86,86.0,,2.0,1.0,True,Segunda mano/buen estado,Planta 2ª exterior,True,True,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/108405093/,2025-09-11,,,
108772657,Piso en venta en Cr Molinar,Centro - Zona Alta,119000,148,148.0,,3.0,2.0,True,Segunda mano/buen estado,Planta 1ª exterior,True,False,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/108772657/,2025-09-11,,,
108987418,Piso en venta en Calle Na Saurina d'Entença,Barri Eixample,85000,82,82.0,81.0,3.0,2.0,,Segunda mano/buen estado,Entreplanta exterior,True,True,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/108987418/,2025-09-11,,,
108498530,Piso en venta en Calle Sant Isidre,Barri Eixample,95000,125,125.0,124.0,4.0,2.0,,Segunda mano/buen estado,Planta 5ª exterior,True,True,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/108498530/,2025-09-11,,,
108169412,Ático en venta en Alameda Camilo Sesto,Barri Eixample,165000,94,94.0,93.0,4.0,1.0,True,Segunda mano/buen estado,Planta 7ª exterior,True,True,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/108169412/,2025-09-11,,,
107952468,Chalet adosado en venta en Calle Xorrador,Barri Eixample,49000,98,98.0,97.0,3.0,1.0,,Segunda mano/para reformar,,,,Núcleo Gestiones Inmobiliarias Alcoy,https://www.idealista.com/pro/nucleoalcoy/,https://www.idealista.com/inmueble/107952468/,2025-09-11,,,
108664854,Piso en venta en Plaza Miguel Hernández,Barri Santa Rosa,90000,104,104.0,,3.0,2.0,True,Segunda mano/buen estado,Planta 1ª exterior,True,True,Clikalia España,https://www.idealista.com/pro/clikalia/,https://www.idealista.com/inmueble/108664854/,2025-09-11,,,
106551637,"Casa o chalet independiente en venta en Urbanització l'Estepar, 66",Centro - Zona Alta,567000,430,430.0,360.0,7.0,5.0,True,Segunda mano/buen estado,,,,Remax Blue,https://www.idealista.com/pro/remax-blue/,https://www.idealista.com/inmueble/106551637/,2025-09-11,,,
107742464,Masía en venta en Sargento D,Barri Batoi - Sargento - Baradello,575000,1329,1329.0,1130.0,12.0,5.0,True,Segunda mano/buen estado,,,,Fincas Valencia Consultores Inmobiliarios,https://www.idealista.com/pro/fincas-valencia-consultores/,https://www.idealista.com/inmueble/107742464/,2025-09-11,,,
109100144,Chalet pareado en venta en Calle Cavall Bernat,Barri Zona Nord,230000,140,140.0,138.0,3.0,2.0,True,Segunda mano/buen estado,,,,Inmobiliaria carbonell,https://www.idealista.com/pro/inmobiliaria-carbonell-30408/,https://www.idealista.com/inmueble/109100144/,2025-09-11,,,
108697505,Piso en venta en Calle Casa Blanca,Centro - Zona Alta,35000,110,110.0,,3.0,1.0,,Segunda mano/para reformar,Planta 3ª exterior,True,False,Clikalia España,https://www.idealista.com/pro/clikalia/,https://www.idealista.com/inmueble/108697505/,2025-09-11,,,
106274250,Casa o chalet independiente en venta en Calle Periòdic Ciudad,Barri Eixample,2590,450,450.0,,7.0,4.0,,Segunda mano/buen estado,,,,Costa Weflen Group,https://www.idealista.com/pro/cweflengroup/,https://www.idealista.com/inmueble/106274250/,2025-09-11,,,
107040845,Piso en venta en Calle els Maulets,Centro - Zona Alta,50000,79,79.0,,2.0,1.0,True,Segunda mano/para reformar,Planta 1ª exterior,True,False,Gestores inmobiliarios,https://www.idealista.com/pro/adanpadaughters/,https://www.idealista.com/inmueble/107040845/,2025-09-11,,,
107527031,Piso en venta en Barri Santa Rosa,Alcoy / Alcoi,124900,100,100.0,88.0,3.0,2.0,,Segunda mano/buen estado,Planta 4ª exterior,True,True,Percent Servicios Inmobiliarios,https://www.idealista.com/pro/percentserviciosinmobiliarios/,https://www.idealista.com/inmueble/107527031/,2025-09-11,,,
108999975,Piso en venta en Calle Sant Nicolau,Centro - Zona Alta,49000,70,70.0,69.0,2.0,2.0,,Segunda mano/para reformar,Planta 1ª exterior,True,False,RE/MAX TRUE Valencia,https://www.idealista.com/pro/remaxtrue/,https://www.idealista.com/inmueble/108999975/,2025-09-11,,,
